player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition,height_ft_outlier,height_in_outlier,weight_lb_outlier
9vQ2da7x5K,Ezequiel Cirigliano,1992-01-24,Argentina,MF,DM,,,2015,5.0,8.0,154.0,mls,False,False,False
9vQ2dlLa5K,Charlie Ward,1995-02-14,England,MF,DM,,CM,2017,5.0,8.0,161.0,mls,False,False,False
9vQ2NWOYQK,Yutaro Tsukada,,Japan,MF,W,,,2024,,,,mls,False,False,False
9vQ2P9L5K6,Brad Ring,1987-04-07,USA,DF,CB,,,2013,5.0,10.0,165.0,mls,False,False,False
9vQ2RBLQK6,Pablo Pintos,1987-07-01,Uruguay,DF,FB,,,2014,6.0,0.0,161.0,mls,False,False,False
9vQ2VxoQK6,Bashkim Kadrii,1991-07-09,Denmark,MF,W,,,2017,5.0,9.0,157.0,mls,False,False,False
9vQ2X1x5K6,Julio César,1979-09-03,Brazil,GK,GK,,,2014,6.0,1.0,176.0,mls,False,False,False
9vQ2x7r5K6,Camilo Sanvezzo,1988-07-21,Brazil,FW,W,,,2013,5.0,7.0,157.0,mls,False,False,False
9vQ2XzY5K6,Clyde Simms,1982-08-21,USA,MF,CM,,DM,2013,5.0,10.0,168.0,mls,False,False,False
9vQ2YEmqK6,Rafael Romo,1990-02-25,Venezuela,GK,GK,,,2022,6.0,6.0,187.0,mls,False,False,False
9vQ2ZdlYQK,Alfonso Ocampo-Chavez,2002-03-25,USA,FW,ST,,,2019,5.0,9.0,128.0,mls,False,False,False
9vQ2ZdoLQK,Selmir Pidro,1998-03-03,Bosnia and Herzegovina,DF,FB,,,2023,,,,mls,False,False,False
9vQ2ZDwaQK,J.C. Ngando,1999-11-20,Cameroon,MF,CM,,,2023,,,,mls,False,False,False
9vQ2ZemeQK,Mac Steeves,1994-07-31,USA,MF,AM,FW,ST,2018,6.0,3.0,205.0,mls,False,False,False
